"","popsize","genotype","media","mat","sd.ls","medianLS","AvgLS","weibAIC","weibLogLik","weibScale","weibShape","LLogisAIC","LLogisLogLik","LLogisScale","LLogisShape"
"2851","130","BY4742","YPD","MATalpha","8.99227787711217","25.5","25.7692307692308","943.273614216921","-469.636807108461","28.7677926846828","3.14749643580119","961.484811708581","-478.742405854291","24.7650770478723","4.46090753406507"
"2852","50","BY4742","YPD","MATalpha","9.30218319777126","23.5","25","367.596219255458","-181.798109627729","27.9988722206366","2.97137293889596","375.43103230174","-185.71551615087","23.7594571298897","4.11376122294335"
"2853","60","BY4742","YPD","MATalpha","9.28109371598907","25.5","25.2166666666667","441.03090193712","-218.51545096856","28.1912850014366","2.99329602225688","452.334265951313","-224.167132975657","24.332939438241","4.12703157838983"
"2854","184","BY4742","YPD","MATalpha","10.09366328391","25.5","26.2282608695652","1370.52506181474","-683.262530907372","29.4635596164727","2.78893921040104","1378.94697366775","-687.473486833876","24.7546695996267","4.25016259447447"
"2855","276","BY4742","YPD","MATalpha","12.3236519705793","22","25.018115942029","2139.02105958139","-1067.51052979069","28.3276332601917","2.16373239698953","2146.31342651715","-1071.15671325858","22.4963709637856","3.32747396894651"
"2856","160","BY4742","YPD","MATalpha","10.5364726682751","21","23.38125","1197.60314803643","-596.801574018216","26.4303481119026","2.37541220237945","1203.39272794834","-599.696363974172","21.4026952323639","3.61902770841803"
"2857","360","BY4742","YPD","MATalpha","10.905264020133","26","26.9472222222222","2731.64027597586","-1363.82013798793","30.3111645738559","2.6118486355595","2740.04518236856","-1368.02259118428","25.3389223425027","4.08414560291509"
"2858","240","BY4742","YPD","MATalpha","8.44965296837175","20","21.8041666666667","1697.38810614734","-846.694053073672","24.5268545107417","2.74765454456869","1691.04448105519","-843.522240527597","20.4721306766332","4.39847990352187"
"2859","189","BY4742","YPD","MATalpha","9.61817777389224","23","23.7671957671958","1394.56720174042","-695.283600870211","26.6871412791701","2.66572422940487","1429.27049061438","-712.635245307189","22.5363353481765","3.67922548212363"
"2860","50","BY4742","YPD","MATalpha","10.8486621012803","24.5","26.02","381.700496222256","-188.850248111128","29.2841192480247","2.5815740039126","385.869781312071","-190.934890656035","24.3447495374931","3.83894548918997"
"2861","326","BY4742","YPD","MATalpha","10.3375247123242","27","26.6963190184049","2453.2958591794","-1224.6479295897","29.9118489257289","2.80399067464859","2519.59873976639","-1257.7993698832","25.6692092678106","3.84402344214743"
"2862","170","BY4742","YPD","MATalpha","11.4468170512872","27","27.0764705882353","1313.77021401607","-654.885107008034","30.4283856941302","2.53257236534117","1347.60001880437","-671.800009402183","25.684092712127","3.49411932994436"
"2863","50","BY4742","YPD","MATalpha","13.863488973942","24","27.26","404.943707983805","-200.471853991903","30.6699210517104","2.05048632528112","413.15784293564","-204.57892146782","24.8592981112528","2.93101596012109"
