"","genotype_in","popsize","genotype","media","mat","sd.ls","medianLS","Delta_LL","AvgLS","gompLoglik","gompRate","gompShape","weibLogLik","weibScale","weibShape"
"3785",3823,160,"LF960","YPD","MATalpha",11.6256534272299,19,4.37156716389234,20.6625,-612.013658183634,0.0194423592434968,0.0539668266745318,-607.642091019741,23.2967451126859,1.85817979561776
"3786",3824,160,"LF960","YPD","MATalpha",9.15649235249273,29,5.98691205886928,29.2125,-585.258565166488,0.00286187157422554,0.109487834148213,-579.271653107618,32.4764764907864,3.59270340808158
"3787",3825,30,"DH502","YPD","MATalpha",9.8190525563034,27.5,1.7727483613395,28,-112.031907763688,0.00464361434641005,0.0942095154217718,-110.259159402348,31.307332981065,3.18678889210467
"3788",3826,60,"DH502","YPD","MATalpha",9.4325437372923,22,4.38729913220232,22.9,-222.60208232203,0.0100256723986598,0.082645050361521,-218.214783189827,25.77412209819,2.61180919830733
"3789",3827,120,"SK1203","YPD","MATa",7.85198774098596,17,-2.21520916920667,16.7083333333333,-416.060292843261,0.0157798932386399,0.100659347754524,-418.275502012467,18.7367126623488,2.19569327807462
"3790",3828,259,"LF960","YPD","MATalpha",10.8777755271482,30,13.0778279364141,30.2972972972973,-994.9586604077,0.00461511805474301,0.0837328366202983,-981.880832471286,33.9418553751598,3.06940605009277
"3791",3829,140,"LF960","YPD","MATalpha",10.8910799183682,25.5,10.8422355641956,27.2142857142857,-540.708428551748,0.0079228760341412,0.0726014999932745,-529.866192987552,30.6201352021891,2.68381403339508
"3792",3830,158,"LF960","YPD","MATalpha",8.69753190249235,22.5,15.9479738995461,23.4240506329114,-578.687045779668,0.00822663579453451,0.0912652522859602,-562.739071880122,26.2975989896828,2.89268042829876
"3793",3831,180,"DH502","YPD","MATalpha",10.1385360431107,25,8.78817785017463,26.0944444444444,-677.104649490439,0.00640560905288917,0.0877155583097587,-668.316471640264,29.3552938812068,2.81584460422191
"3794",3832,64,"DH502","YPD","MATalpha",15.156328239857,25,3.14259376985973,28.75,-263.694266537104,0.0128963873940149,0.0428030090513688,-260.551672767245,32.4591559795329,2.00404396484468
"3795",3833,80,"DH502","YPD","MATalpha",10.1132511143186,25.5,3.45086896577351,25.775,-300.824195472497,0.0069716898364704,0.0855711193266743,-297.373326506724,28.9473629748656,2.77608624501821
"3796",3834,60,"DH502","YPD","MATalpha",10.2087809771563,25,1.80696202455803,26.5333333333333,-225.70668118506,0.00610890354537306,0.0880488683606109,-223.899719160502,29.7454532437091,2.8361663801495
"3797",3835,198,"LF960","YPD","MATalpha",11.8637170563214,29,3.75995132988214,29.3232323232323,-771.076569928098,0.0058083744472639,0.0768717504362461,-767.316618598216,33.0003441216687,2.70723112183881
"3798",3836,80,"LF960","YPD","MATalpha",11.9102591135499,29,5.97514410025406,30.2375,-315.126512181323,0.00631220612170252,0.0703162838822124,-309.151368081069,34.0546967773751,2.76830330433792
"3799",3837,120,"KS2","YPD","MATa",11.0079898408444,25.5,5.86748769803609,27.525,-461.958591917402,0.00706881801486807,0.0763817139272925,-456.091104219365,30.9449836826757,2.71101293456097
"3800",3838,119,"LF960","YPD","MATalpha",11.0603090942184,29,7.0252895478182,28.4201680672269,-460.006320158864,0.00677325210543813,0.0749177020546276,-452.981030611046,31.9173919618845,2.79440534834436
"3801",3839,160,"KK19","YPD","MATa",9.39147713447121,22,12.761888357318,24.4625,-594.657287121424,0.00777801547801264,0.0874745221358987,-581.895398764106,27.5008403559901,2.81335767189393
"3802",3840,98,"LF960","YPD","MATalpha",10.9536252521495,26,4.77919804628135,25.5510204081633,-375.910934407162,0.00914306908786693,0.0727533391824866,-371.131736360881,28.802092642137,2.51865872958201
"3803",3841,54,"DH502","YPD","MATalpha",8.91186757351111,25.5,2.23887873051106,25.8888888888889,-196.019152922041,0.00449506182613364,0.107180789985913,-193.78027419153,28.9081136570506,3.2464473600991
"3804",3842,84,"DH502","YPD","MATalpha",9.3761440304074,26,7.74109197058914,26.0595238095238,-313.731180616367,0.00687474012981267,0.0861491760079942,-305.990088645778,29.1694075475917,3.00785144058014
"3805",3843,54,"DH502","YPD","MATalpha",7.17613094542679,24.5,0.470754505265376,24.2222222222222,-182.278962963253,0.002288075836813,0.152938393157212,-181.808208457987,26.8041380973186,3.92872838467876
"3806",3844,44,"DH502","YPD","MATalpha",10.3212664545692,23.5,3.65513239914176,25.2727272727273,-167.892484960432,0.00969264247648175,0.0720401001279797,-164.23735256129,28.3897562738593,2.61159851915259
"3807",3845,74,"DH502","YPD","MATalpha",9.04516824017943,26.5,0.909520306836953,25.5,-267.294919323662,0.00413730836197483,0.112767336546147,-266.385399016825,28.5376722146716,3.19822729115329
"3808",3846,54,"DH502","YPD","MATalpha",10.7398075451852,27,-0.433396894146966,27.5740740740741,-204.337336493687,0.00523158038249517,0.089541253594798,-204.770733387834,30.8778719786391,2.80056956383112
"3809",3847,54,"DH502","YPD","MATalpha",11.2809865208367,28.5,4.79555058917319,29.8518518518519,-210.83540667385,0.00633730667783254,0.0722349384804185,-206.039856084677,33.5232437804885,2.87709266130623
"3810",3848,64,"DH502","YPD","MATalpha",9.71478173336818,24.5,9.33476918315196,24.5625,-245.176713498195,0.0130071332784636,0.0615281191379002,-235.841944315043,27.506687300006,2.62191645210287
"3811",3849,64,"DH502","YPD","MATalpha",11.0939351370646,25.5,9.28185636332202,27.1875,-251.749680696161,0.0109631441863251,0.0581011146189821,-242.467824332839,30.6171148759899,2.5919270442175
"3812",3850,63,"DH502","YPD","MATalpha",13.177235253643,18,1.52703940768063,20.4603174603175,-245.07713439147,0.0242306698799258,0.0405674482071453,-243.550094983789,22.9292341462849,1.62509103227581
"3813",3851,50,"DH502","YPD","MATalpha",9.68956939714252,28,1.54409512037543,26.5,-184.823142218032,0.00489457252758757,0.0989873777429995,-183.279047097657,29.6968184719764,3.07465668593761
"3814",3852,50,"DH502","YPD","MATalpha",10.6028298109514,29.5,3.47273418621847,29.22,-191.528477907465,0.00543877095620335,0.081575378787044,-188.055743721246,32.7153205898453,3.01862885785304
