"","genotype_in","popsize","genotype","media","mat","sd.ls","medianLS","Delta_LL","AvgLS","gompLoglik","gompRate","gompShape","weibLogLik","weibScale","weibShape"
"2345",2381,240,"ST2660","YPD","MATalpha",9.02687661346383,23.5,13.5277175935599,24.6958333333333,-881.928703010778,0.00664561282316271,0.0947162069284547,-868.400985417219,27.6310163647707,2.94027716258794
"2346",2382,520,"ST2660","YPD","MATalpha",8.17825256573198,22,16.9828380651745,22.55,-1847.66159643299,0.00639654129110579,0.110811638890701,-1830.67875836782,25.2143792928128,3.00592946392608
"2347",2383,160,"MM1396","YPD","MATa",10.4259518365525,31,6.78166469152063,30.5625,-612.442848111686,0.00463116106580689,0.0833433106422005,-605.661183420165,33.9800935019187,3.11641727675232
"2348",2384,560,"MM1396","YPD","MATa",11.1349779163246,33,21.2591757566483,33.4285714285714,-2164.27498666015,0.00335059888091438,0.0847729744654273,-2143.0158109035,37.2398245144012,3.31820542352681
"2349",2385,240,"MM1396","YPD","MATa",14.8695155612582,35,16.1464297738527,37.0791666666667,-1000.76865310661,0.00571038210446065,0.0538209330455595,-984.622223332758,41.6908059176002,2.66509477665517
"2350",2386,160,"MM1394","YPD","MATalpha",10.0586311852436,28,-0.25184993789162,27.99375,-597.170475430857,0.00440513896985843,0.0961881584244208,-597.422325368749,31.2333475476084,3.06582029570259
"2351",2387,480,"MM1394","YPD","MATalpha",11.8457889816203,35,-13.4950067668337,33.79375,-1858.02958875443,0.0029141833939108,0.0878053133299502,-1871.52459552126,37.6536466013634,3.18914269878777
"2352",2388,240,"MM1394","YPD","MATalpha",14.364981804079,34.5,14.2516758560849,34.6791666666667,-990.320194355822,0.00661433262599357,0.0545566912992035,-976.068518499737,39.0265930470639,2.58695235469771
"2353",2389,160,"ST3822","YPD+1.25% Ethanol","MATalpha",6.73199613878221,16,10.1289533895271,16.53125,-538.145346300667,0.0127162752567012,0.121071552557525,-528.01639291114,18.6235363952607,2.66427771751036
"2354",2390,160,"ST3822","YPD+0.4mM Gemfibrozil(.1mg/mL)","MATalpha",8.11842138123357,12,3.26948985067793,13.44375,-551.850918532068,0.0360242162237857,0.0650484973699822,-548.58142868139,15.0219282346348,1.68339754358265
"2355",2391,320,"MM1394","YPD+1.25% Ethanol","MATalpha",12.3743999411212,33,4.18282075094226,32.284375,-1263.45390949069,0.00481506031748473,0.0739778244999488,-1259.27108873974,36.1705338399851,2.83635550879968
"2356",2392,160,"MM1394","YPD","MATalpha",12.0269547895315,34.5,-5.90717200451456,33.3625,-621.457079554166,0.0031814860056187,0.0859138466936845,-627.364251558681,37.1822876288171,3.06261917168963
"2357",2393,160,"MM1394","YPD","MATalpha",12.0987664400578,29.5,-0.390643135153368,28.76875,-624.544754676875,0.00651508149048405,0.0740466946427856,-624.935397812028,32.3456651529389,2.57503022288373
"2358",2394,160,"ST3835","YPD","MATalpha",10.1497513679,19.5,10.9320192126235,20.6625,-599.500638222301,0.0161294002258723,0.0667954489138147,-588.568619009678,23.3880979636235,2.17356096293813
"2359",2395,159,"MM1394","YPD","MATalpha",13.9025490237415,19,1.05048524461608,22.1509433962264,-629.043484772831,0.021459608946153,0.0399696915676538,-627.992999528215,24.7335611190228,1.62324457297159
"2360",2396,239,"MM1394","YPD","MATalpha",13.1912111557759,36,-4.84600597840358,34.7405857740586,-950.597094510324,0.00365069081498337,0.0758607004693635,-955.443100488728,38.9062069291662,2.925840024104
"2361",2397,151,"MM1396","YPD","MATa",9.49840930100657,29,9.09328735136012,28.635761589404,-563.312929917735,0.00442279157760191,0.0939538295620972,-554.219642566374,31.8775506767731,3.28439530185384
"2362",2398,159,"MM1396","YPD","MATa",10.8228161425589,29,2.90849491216181,29.1761006289308,-608.762568849699,0.00525241249314391,0.0829573641346724,-605.854073937537,32.5893249889664,2.91039061972467
"2363",2399,160,"MM1394","YPD","MATalpha",12.2069404296936,28,-9.92176959716585,28.05625,-622.49057569176,0.00673108012059685,0.0753087839224581,-632.412345288926,31.3649002890076,2.38324002184031
"2364",2400,1580,"DH502","YPD","MATalpha",9.99347192746214,28,61.749884923066,27.7791139240506,-5935.11901864356,0.00511494358825446,0.0906862788490313,-5873.36913372049,31.0734106316512,3.04038042060021
"2365",2401,260,"KK19","YPD","MATa",9.36401351102982,27,14.0226802731326,27.55,-963.202566783665,0.00473373376816497,0.0961312262004049,-949.179886510532,30.7321767053102,3.23669532628538
"2366",2402,118,"KK19","YPD","MATa",10.8423841441897,29,2.29567046588977,28.2881355932203,-449.679176035135,0.00555391300620335,0.0842194804796972,-447.383505569245,31.7298723127548,2.88883286286775
"2367",2403,220,"KK19","YPD","MATa",9.28180082117787,28,13.0896719674906,28.25,-815.260748469879,0.00431552587597106,0.096984233496588,-802.171076502389,31.4432044192204,3.32760369927728
"2368",2404,380,"KK19","YPD","MATa",11.3807017433255,32,26.0850160129894,31.3315789473684,-1488.05590662053,0.0055484902650258,0.0727155442693374,-1461.97089060754,35.051953234039,2.97339014194997
"2369",2405,80,"KK19","YPD","MATa",9.66498966975422,26.5,-2.85525418302745,27.825,-291.7229205087,0.00294948322115274,0.114270942050248,-294.578174691728,31.0169762597814,3.27801302975518
"2370",2406,240,"KK19","YPD","MATa",10.7093951114951,27,1.99443229298799,28.1083333333333,-912.518522872864,0.00544075144941929,0.0857993752282127,-910.524090579876,31.4648832531542,2.85526391064456
"2371",2407,240,"KK19","YPD","MATa",8.97357716681362,26,14.5998816461539,27.2541666666667,-881.293193344638,0.00449676209265616,0.100254091974187,-866.693311698484,30.3485742573369,3.32220989433048
"2372",2408,2164,"DH502","YPD","MATalpha",11.3209498240715,29,101.291100139686,29.2601663585952,-8406.96836062825,0.00622272897988899,0.0750038808822091,-8305.67726048856,32.8412515421167,2.79346788080556
"2373",2409,160,"DH502","YPD","MATalpha",8.55172708659029,24,9.56247665267244,24.50625,-578.553260800749,0.00573895701414276,0.103831463968091,-568.990784148077,27.3846081784346,3.13878962478075
"2374",2410,2341,"DH502","YPD","MATalpha",9.45854782859678,27,136.903691071242,27.035454933789,-8721.66888085449,0.00551879696475473,0.0915086718348245,-8584.76518978325,30.1871719318968,3.09492114615817
"2375",2411,1580,"DH502","YPD","MATalpha",12.6217462804811,31,82.8507533757765,32.1329113924051,-6307.66999296519,0.00579193342378616,0.0671799771407079,-6224.81923958942,36.1243590714584,2.75515311002826
"2376",2412,140,"MM1394","YPD","MATalpha",12.2858553016597,21.5,5.58959162264171,22.9142857142857,-544.948709609245,0.0155661945522698,0.0554310521966719,-539.359117986603,25.947701561534,1.9887250447013
"2377",2413,160,"ST3822","YPD+0.006% Ethanol","MATalpha",5.50949723191034,14,14.5672651586754,14.3125,-513.24670598162,0.01539975298913,0.137335330883655,-498.679440822945,16.0519102872088,2.75116628442747
"2378",2414,160,"ST3822","YPD+10uM Gemfibrozil","MATalpha",6.26198222479494,12.5,15.4048473785997,13.4125,-528.942535182705,0.0260481975312548,0.100049645752512,-513.537687804106,15.1420156460197,2.26100208633831
"2379",2415,160,"ST3822","YPD+0.006% Ethanol","MATalpha",6.61040727011049,15,15.2143124355846,15.725,-541.961758594603,0.0182656018496768,0.102732855547601,-526.747446159018,17.6759965519927,2.49397139160965
"2380",2416,159,"ST3822","YPD+10uM Gemfibrozil","MATalpha",8.48788925420922,14,8.6634215434467,15.0062893081761,-561.046309005126,0.0300462610860978,0.0650676441444028,-552.38288746168,16.909177404561,1.84962687859594
"2381",2417,160,"ST3858","YPD","MATalpha",10.4680931808409,26,6.57857957590988,26.4375,-607.756723607757,0.00714025342931427,0.0810790517097216,-601.178144031847,29.6871790857226,2.73209265653248
"2382",2418,317,"ST3858","YPD","MATalpha",14.7882436246789,30,4.65412206902784,32.3564668769716,-1302.11703299292,0.00747584383986145,0.0552734502948988,-1297.46291092389,36.4759531406291,2.32277747635179
"2383",2419,240,"ST3858","YPD+1.25% Ethanol","MATalpha",10.2961982327177,25.5,14.1517884941578,25.6958333333333,-911.52795929715,0.00827103068250098,0.0777154503569102,-897.376170802992,28.8726159871978,2.6789961084852
"2384",2420,320,"ST3858","YPD+1.25% Ethanol","MATalpha",11.2714980938204,25,22.992971211132,26.91875,-1245.58468015712,0.00904035210673048,0.0673813302120414,-1222.59170894599,30.3118924486338,2.54111256869125
"2385",2421,240,"ST3858","YPD+0.4mM Gemfibrozil(.1mg/mL)","MATalpha",11.4365510596276,25,16.6089264846565,27.4833333333333,-937.68581569642,0.00866939674931667,0.066983585571281,-921.076889211763,30.9290673418377,2.55313522870178
"2386",2422,160,"MM1394","YPD","MATalpha",12.9361275591428,20.5,-8.45811101812137,21.45,-620.411440003691,0.018022104770839,0.0530808725456423,-628.869551021812,23.7981442722202,1.61272019581124
"2387",2423,160,"ST3858","YPD+1.25% Ethanol","MATalpha",9.0931392168827,17,20.62756339578,18.58125,-589.161297171129,0.0220407902037606,0.0609604914024075,-568.533733775349,21.0363905030615,2.17016073439782
"2388",2424,160,"ST3858","YPD+0.4mM Gemfibrozil(.1mg/mL)","MATalpha",11.2268700029391,19,18.0151063380679,21.2875,-616.454641642336,0.0203495420979607,0.0489421197496678,-598.439535304269,24.142951839194,2.03330976201671
"2389",2425,160,"ST3858","YPD","MATalpha",9.73219225240315,26,7.50232562143412,26.8375,-601.855143578835,0.00650354820475287,0.0847252063561552,-594.3528179574,29.9136172886591,2.90900846678182
"2390",2426,160,"ST3858","YPD+0.2mM Ibuprofen","MATalpha",11.315124222187,20,10.7556349105184,22.84375,-616.492168613375,0.014798038718159,0.0595429615562087,-605.736533702857,25.8541785068402,2.15246034654975
"2391",2427,160,"MM1370","YPD","MATa",9.77383998811151,20.5,-3.69991136290923,20.98125,-590.416087453758,0.0124196174203351,0.0809473920376408,-594.115998816667,23.4922754906668,2.19492372813247
"2392",2428,158,"MM1370","YPD","MATa",11.0060635769181,24.5,12.9195770406293,25.8860759493671,-613.272502395775,0.0104962448912428,0.0647168847908396,-600.352925355145,29.1156243170904,2.47011037669712
"2393",2429,160,"MM1369","YPD","MATalpha",10.912458980738,24,11.3468680209755,24.75,-617.160811887814,0.0114837336911347,0.0650330765270664,-605.813943866838,27.8698640127204,2.39011092283106
"2394",2430,238,"MM1369","YPD","MATalpha",11.254333318227,28,15.9751326671305,28.4327731092437,-928.683656933637,0.00766758745228981,0.069241280155717,-912.708524266506,31.8999919870586,2.67765702370618
"2395",2431,160,"MM1370","YPD","MATa",7.77396881875459,24,-2.08299283466249,24.075,-554.215768347621,0.00340108125367121,0.133740886145945,-556.298761182283,26.690203356104,3.47928963436995
"2396",2432,240,"MM1370","YPD","MATa",9.7581493318225,26,21.1115640737891,26.9833333333333,-907.557316958054,0.00688665607656979,0.0814087989930644,-886.445752884265,30.1855602353176,2.95119577315405
"2397",2433,160,"ST3858","YPD","MATalpha",8.80910183601215,21,21.2121992291992,22.23125,-593.096369285813,0.0122012415044972,0.0764403832209003,-571.884170056614,24.9818954759368,2.63451552213242
"2398",2435,160,"MM1369","YPD","MATalpha",10.669917080425,28,4.52525036807162,27.85625,-610.130114369304,0.00593700180026514,0.083041971855621,-605.604864001233,31.2094864483855,2.82332275115054
"2399",2436,148,"MM1392","YPD","MATa",12.8629902333101,25,-10.6438916157499,22.1621621621622,-573.066982231314,0.0152085718111807,0.0592822066883498,-583.710873847064,24.6763151595231,1.68474484527956
"2400",2437,112,"MM1391","YPD","MATalpha",11.3382779829676,32.5,4.64959887693249,32.1696428571429,-434.982742156029,0.00426671548166012,0.0799864786034733,-430.333143279097,35.9236975665499,3.11924854091461
"2401",2438,227,"MM1391","YPD","MATalpha",10.694019457702,33,7.99977108213034,32.4361233480176,-865.079358691021,0.00311949429999824,0.0912304463926818,-857.079587608891,36.1539232966857,3.41313572764882
"2402",2439,94,"MM1391","YPD","MATalpha",9.81912024560351,29,2.70464720211754,30.1595744680851,-348.956242266929,0.00289982594666094,0.103807966535524,-346.251595064812,33.6095734045545,3.49143622934499
"2403",2440,450,"KK39","YPD","MATalpha",9.45111414200027,27,34.8365615733301,27.2777777777778,-1681.08093154498,0.00554172546874377,0.0901728131324447,-1646.24436997165,30.483616889186,3.12743366084063
"2404",2441,1140,"KK39","YPD","MATalpha",9.74528978281479,27,146.896741881463,27.5350877192982,-4354.93471685178,0.00772584301988017,0.0741986475764293,-4208.03797497032,30.7970321800713,2.9760724228905
"2405",2442,320,"LF960","YPD","MATalpha",10.0660198238452,23,12.0842066876353,23.396875,-1200.79054925353,0.0100952307155097,0.0787806846990559,-1188.70634256589,26.3361700887646,2.47706194333544
"2406",2443,80,"LF960","YPD","MATalpha",10.3079098913948,27,-2.91110996506148,25.5125,-297.917479004186,0.00593655353025391,0.0941757196280215,-300.828588969248,28.5737180184685,2.69313810021386
"2407",2444,180,"LF960","YPD","MATalpha",10.442262407934,24.5,4.25193454833231,24.3777777777778,-680.906067432129,0.00941807613605541,0.0772142971943601,-676.654132883796,27.4030092188065,2.48786377360838
"2408",2445,1675,"LF960","YPD","MATalpha",10.0396792265572,24,86.9757576467318,25.094328358209,-6307.39015683495,0.00805814180560213,0.0819095932023222,-6220.41439918822,28.2097495545404,2.69018994494424
"2409",2446,120,"LF960","YPD","MATalpha",10.2125177212714,28,4.13367257262121,27.5833333333333,-452.900114356957,0.00571689692562748,0.0866523262331407,-448.766441784336,30.8600615559879,2.95189989767787
"2410",2447,300,"LF960","YPD","MATalpha",8.1965813903294,23,18.9455682715848,23.4,-1075.17093006444,0.00643320852591121,0.105229872376489,-1056.22536179286,26.1372168768876,3.09272444816869
"2411",2448,2217,"LF960","YPD","MATalpha",8.90741769101165,24,206.297847399984,24.531348669373,-8182.9622722603,0.0077850121474509,0.088235994009525,-7976.66442486032,27.4739599092843,2.95467713967101
"2412",2449,246,"LF960","YPD","MATalpha",13.199966815953,16,-6.85732166040145,16.4390243902439,-925.837499595068,0.0427959317398479,0.0235868673698461,-932.694821255469,17.0712139445455,1.11447800764379
"2413",2450,100,"LF960","YPD","MATalpha",8.48468019313621,24,0.723956376607418,23.01,-356.19244182061,0.00573985100199886,0.112924663190627,-355.468485444003,25.730941034227,2.99254897083358
"2414",2451,897,"LF960","YPD","MATalpha",9.96004107818761,26,63.3296131536231,26.7134894091416,-3390.91715836521,0.00685079458618059,0.0824715905660737,-3327.58754521158,29.9448757907965,2.88889951306583
"2415",2452,3178,"LF960","YPD","MATalpha",11.7283258593376,29,192.935086729331,29.6013215859031,-12465.9496860713,0.00661663226628063,0.0707938532750482,-12273.0145993419,33.3102872384331,2.73340519461225
"2416",2453,240,"LF960","YPD","MATalpha",11.5462927328077,30,15.8313288126752,30.8833333333333,-940.81629674131,0.00577725096306012,0.0723289622095456,-924.984967928635,34.6315720982917,2.89940500257008
"2417",2454,160,"LF960","YPD","MATalpha",11.7337804553172,29.5,3.35478969755206,30.4375,-622.128048823999,0.00490272704691121,0.0798246721508037,-618.773259126447,34.1821930998384,2.85434949790921
"2418",2455,958,"LF960","YPD","MATalpha",12.1667465521447,32,27.3326710293445,32.1534446764092,-3769.33363768364,0.00465249131518347,0.0757544617589241,-3742.0009666543,36.0854399688319,2.90621108952873
"2419",2456,140,"LF960","YPD","MATalpha",9.49336058356463,25.5,9.68447354201481,26.2357142857143,-520.412179595195,0.00569663603630355,0.0934088764006855,-510.72770605318,29.4322496979302,3.03022872974706
"2420",2457,1175,"LF960","YPD","MATalpha",9.6980143012634,28,50.2967511295756,27.6408510638298,-4383.40730170766,0.00487129936318797,0.0938406504563742,-4333.11055057809,30.8806340578437,3.12349204175909
"2421",2458,3652,"LF960","YPD","MATalpha",11.5703682375088,28,205.558483626617,29.5375136911281,-14264.7319847121,0.00635975891087991,0.0729552132027109,-14059.1735010855,33.2224337248848,2.76930801529944
"2422",2459,1459,"LF960","YPD","MATalpha",12.4580546240049,30,101.800713853606,31.245373543523,-5821.13994322503,0.00661706203017162,0.064914837378043,-5719.33922937142,35.1748362319934,2.70843303545333
"2423",2460,219,"LF960","YPD","MATalpha",13.9925981498326,28,15.1054590214718,31.0730593607306,-894.961371390296,0.00884029661039715,0.0528384806328822,-879.855912368825,35.1196597589805,2.38036580801934
"2424",2461,3017,"LF960","YPD","MATalpha",11.3303017987306,29,144.260422803858,29.8823334438184,-11711.8871530943,0.00557779349042951,0.07720273087055,-11567.6267302905,33.5445347828921,2.87672668980489
"2425",2462,1318,"LF960","YPD","MATalpha",9.06008796051718,21.5,157.541315078945,22.6145675265554,-4894.50161687627,0.0113611011103758,0.0780018252719736,-4736.96030179732,25.4768673314826,2.65449956356752
"2426",2463,180,"LF960","YPD","MATalpha",10.2109591689928,29,8.84402704424303,28.4,-679.286826604951,0.00490139551442191,0.089592240262456,-670.442799560708,31.8213727130389,3.08574146750277
"2427",2464,80,"LF960","YPD","MATalpha",10.2912030763897,32.5,-1.34910188675582,31.3,-297.862725224626,0.00247473403032017,0.104764062201921,-299.211827111382,34.7866214977241,3.49774860390857
"2428",2465,175,"LF960","YPD","MATalpha",10.3950632466319,29,10.5669772156738,28.8685714285714,-667.330856598979,0.00541676410224711,0.0833064247381846,-656.763879383305,32.3015633168623,3.01831173465913
"2429",2466,294,"LF960","YPD","MATalpha",10.4196639601329,26,18.0202535158201,26.9761904761905,-1121.15636216023,0.00713075852184335,0.0789540927260822,-1103.13610864441,30.2809086410554,2.79008280406379
"2430",2467,139,"LF960","YPD","MATalpha",9.5179508172378,23,17.2322724291088,24.726618705036,-524.092158201633,0.00943628387310706,0.0765417526087576,-506.859885772524,27.8025586367342,2.75780016395165
"2431",2468,238,"SK1224","YPD","MATa",9.55781297247401,19,16.2746720861436,20.1050420168067,-880.288329846364,0.0158771825602492,0.0718546580238888,-864.01365776022,22.7303392811711,2.23900728209261
"2432",2469,120,"SK1224","YPD","MATa",9.19986603239447,15,8.44198556340388,17.8666666666667,-436.748653601976,0.0209932702637394,0.0685064122202008,-428.306668038572,20.2165367171887,2.06575296420464
"2433",2470,238,"LF960","YPD","MATalpha",10.3758645274357,18,21.2009817179179,20.3991596638655,-897.270652073044,0.0182464857580606,0.0604793069481097,-876.069670355126,23.1229973950543,2.10203274245482
"2434",2471,120,"LF960","YPD","MATalpha",11.5061516855395,21,7.87230960729261,23.1416666666667,-463.068827254594,0.0138352447415524,0.0614315751570203,-455.196517647301,26.2398929819222,2.16568255542657
"2435",2472,520,"LF960","YPD","MATalpha",11.0289754058588,19,21.2936639862862,21.1846153846154,-1979.06119195516,0.0169698320800147,0.059969520693149,-1957.76752796887,23.9185213556023,2.01602397796878
"2436",2473,140,"LF960","YPD","MATalpha",13.4803328250073,34,3.8399480084471,34.5071428571429,-563.926089310604,0.00454912150566963,0.0685300942040728,-560.086141302157,38.8003282686263,2.82278961164218
"2437",2474,399,"LF960","YPD","MATalpha",11.3243239018876,29,16.5971907940097,29.6741854636591,-1548.15858005491,0.00573601635411999,0.0768645762056092,-1531.5613892609,33.2861484847143,2.84554717820278
"2438",2475,359,"LF960","YPD","MATalpha",11.4722865211913,30,15.8472115534894,30.866295264624,-1395.60278236311,0.00482848724611652,0.0792393806691898,-1379.75557080962,34.6346590033523,2.95788214640696
"2439",2476,220,"LF960","YPD","MATalpha",11.1327660847332,22,-6.14477466606115,22.2818181818182,-833.937161413123,0.0124402575496464,0.0716366145329111,-840.081936079184,25.0294481835144,2.05923998285793
"2440",2477,140,"LF960","YPD","MATalpha",10.2099517178175,25.5,5.59490754057106,25.6928571428571,-526.677098341507,0.00684698447569036,0.0864819111013092,-521.082190800936,28.9051844082475,2.74998624605669
"2441",2478,638,"LF960","YPD","MATalpha",10.2914776196996,28,18.5317650775264,27.8166144200627,-2409.99134085501,0.00538504806192262,0.0879586975354084,-2391.45957577749,31.1362643461434,2.95214776681993
"2442",2479,140,"LF960","YPD","MATalpha",11.4362615442697,29,4.97880993353147,29.0571428571429,-542.635216057722,0.00597297589684367,0.0772458939737141,-537.656406124191,32.6541677615442,2.77437501331759
"2443",2480,180,"LF960","YPD","MATalpha",11.1014997225323,33,1.99817318866792,31.7166666666667,-688.690526002869,0.00336746230368198,0.0904110642008511,-686.692352814201,35.4400776477451,3.21068062476813
"2444",2481,1218,"LF960","YPD","MATalpha",12.4463927079929,31,36.1828553285668,32.0656814449918,-4821.98953274248,0.00511347957283658,0.0722559006132546,-4785.80667741391,36.0184369535997,2.81518144563971
"2445",2482,2278,"LF960","YPD","MATalpha",11.8821507090557,32,122.181982948812,31.9385425812116,-8963.65421725624,0.00507018759615166,0.0735631097436948,-8841.47223430743,35.8292283828723,2.93802091143553
"2446",2483,160,"LF960","YPD","MATalpha",8.74120402454617,26,13.1593973138431,27.3625,-585.484084179148,0.0041742662929368,0.103044003247487,-572.324686865305,30.4875961286581,3.41523771887763
"2447",2484,140,"LF960","YPD","MATalpha",13.6406607574296,30,13.5253213562346,30.7,-571.790321248604,0.0096792130818792,0.0506044984922573,-558.264999892369,34.6978771021063,2.41073978607097
"2448",2485,280,"LF960","YPD","MATalpha",8.62932920803495,22,11.0463500701379,22.725,-1014.19326738778,0.00793938235193704,0.0974169914603402,-1003.14691731764,25.4200050814296,2.80459607838872
"2449",2486,79,"LF960","YPD","MATalpha",12.0743800000492,23,1.78727825974158,24.4683544303797,-306.947299067872,0.0115551212519857,0.0643837295484133,-305.16002080813,27.6643478380881,2.16665207532358
"2450",2487,120,"LF960","YPD","MATalpha",10.5543677153654,31.5,-4.12958327505521,29.0166666666667,-447.259118759557,0.00314126488803021,0.104628503086904,-451.388702034612,32.477071872623,3.14668859932012
"2451",2488,80,"LF960","YPD","MATalpha",9.20923277773075,21,8.17249556889021,23.1125,-296.513306065303,0.00968962867402017,0.0835148220681113,-288.340810496413,26.0416545380121,2.70435363034427
"2452",2489,80,"LF960","YPD","MATalpha",10.1550012620832,27.5,0.779530897968016,27.3,-298.4729920076,0.00461291653690596,0.0969955765744768,-297.693461109632,30.599637651868,3.00489150982121
"2453",2490,80,"LF960","YPD","MATalpha",10.1125000977922,24,7.50487816917155,25.125,-303.369716827384,0.00896239573757093,0.0765237890638919,-295.864838658213,28.314963498089,2.68775501326635
"2454",2491,760,"LF960","YPD","MATalpha",13.4069729851228,29,46.4789932087679,31.4894736842105,-3075.50879331702,0.00733960142781546,0.0593134284589773,-3029.02980010825,35.5363920693394,2.52819018863339
"2455",2492,175,"LF960","YPD","MATalpha",10.4334720923323,27,3.30302588549421,27.0685714285714,-660.512013346661,0.00569834578159078,0.0884134212845775,-657.208987461167,30.3695480638323,2.84244786784795
"2456",2493,179,"LF960","YPD","MATalpha",11.5769213644844,31,10.4439792062688,30.2849162011173,-699.460886899337,0.00586528192219865,0.0736704042618854,-689.016907693069,34.0206743566392,2.86525047525372
"2457",2494,139,"LF960","YPD","MATalpha",10.3506452229881,22,15.4456164684999,23.4964028776978,-530.217621467388,0.0124255773811734,0.0669655723162103,-514.772004998889,26.5838803111879,2.43449216422753
"2458",2495,80,"LF960","YPD","MATalpha",9.7091891747138,23,5.74448997895564,23.1,-298.107200216002,0.00986766185529592,0.081913110511535,-292.362710237047,26.0735076532004,2.58745297694201
"2459",2496,359,"LF960","YPD","MATalpha",10.7075556659214,26,21.4689944825745,27.4178272980501,-1376.31025119135,0.00689266891905207,0.0781765352881599,-1354.84125670877,30.81808113003,2.768918463517
"2460",2497,98,"LF960","YPD","MATalpha",10.0080127796692,23.5,11.1802094667526,24.3265306122449,-372.511591718133,0.0107794235139589,0.0710737406810078,-361.331382251381,27.4206744732897,2.59201955152484
"2461",2498,935,"LF960","YPD","MATalpha",9.553498360339,26,67.9702192213394,26.1326203208556,-3495.89369580546,0.00653340911431132,0.0877027507498593,-3427.92347658412,29.2831698666327,2.95572738685879
"2462",2499,300,"LF960","YPD","MATalpha",9.04062674793848,27,15.4797488555753,27.4466666666667,-1100.37982034836,0.00411314249013488,0.102950033740794,-1084.90007149279,30.5764271469161,3.33850684419465
"2463",2500,160,"LF960","YPD","MATalpha",10.0442339289826,26,6.52927557938176,26.7625,-602.879081271199,0.00646449726806294,0.0849485575871507,-596.349805691817,29.9472410429633,2.87883796864307
"2464",2501,140,"LF960","YPD","MATalpha",10.8353343607453,27.5,4.00953178973384,27.7642857142857,-533.370016161665,0.00565739056463592,0.0851816151900835,-529.360484371931,31.2217456499633,2.83055308203914
"2465",2502,834,"LF960","YPD","MATalpha",10.5251936708443,27,39.0394855218183,27.8681055155875,-3177.48589174211,0.00594625109135278,0.0830719973143796,-3138.44640622029,31.2628945777635,2.88019483914016
"2466",2503,238,"LF960","YPD","MATalpha",10.7671357840201,28,8.43040005028877,28.2773109243697,-907.725908500495,0.00542792650636807,0.084952320696634,-899.295508450206,31.7601000290361,2.89310718209606
"2467",2504,160,"LF960","YPD","MATalpha",10.7334485715912,29,9.94710945894371,29.275,-614.558826330468,0.00550809385831781,0.0806334415686414,-604.611716871525,32.810684644414,2.97543711784511
"2468",2505,117,"LF960","YPD","MATalpha",9.68735400334926,18,2.35850956527139,19,-430.680443468537,0.0184082792704538,0.0691539288253015,-428.321933903265,21.3544992748545,2.02213959476431
"2469",2506,120,"LF960","YPD","MATalpha",10.2516105177325,28,4.8791191805181,28.2166666666667,-453.173461513137,0.00513858909842668,0.0884063045260947,-448.294342332619,31.5815273239855,3.03484972911599
"2470",2507,118,"LF960","YPD","MATalpha",11.6219232655845,15.5,4.00078590640015,18.4406779661017,-446.51314894212,0.0274749443648436,0.0439501882359586,-442.51236303572,20.6882148123982,1.65697360232677
"2471",2508,78,"LF960","YPD","MATalpha",9.7947636999264,18,4.80547205458328,18.5641025641026,-287.076867031947,0.01954602444977,0.0675772288119093,-282.271394977364,21.0412354533159,2.03589647285147
"2472",2509,80,"LF960","YPD","MATalpha",11.0731100338967,28.5,-3.75520299064544,27.2375,-301.629620831947,0.00478432247206155,0.0944301272158544,-305.384823822592,30.5890245673982,2.73133028778289
"2473",2510,120,"LF960","YPD","MATalpha",10.4164509781591,18,6.00061159432994,19.7916666666667,-448.541603700965,0.0177516215857822,0.0653523601015187,-442.540992106635,22.4204947107607,2.03176438161932
"2474",2511,80,"LF960","YPD","MATalpha",13.1947438710566,26,2.15336106450349,28.5,-319.242833508849,0.00879742959351985,0.0611611158656006,-317.089472444346,32.1889356051987,2.32281332503609
"2475",2512,160,"BR2200","YPD","MATa",10.0317028909892,29.5,5.01963382424037,30.1375,-599.231066133187,0.00335298360151157,0.0979746393012932,-594.211432308947,33.5980882378383,3.36220446647901
"2476",2513,160,"BR2200","YPD","MATa",9.76136452661121,28.5,9.11196587716461,29.20625,-599.210758198154,0.00419022840608867,0.0936175717321303,-590.098792320989,32.5818379567809,3.2926076415233
"2477",2514,80,"BR2200","YPD","MATa",11.5515082033539,32,-2.90972448545165,31.925,-306.218593351962,0.00305558772295602,0.0928128717934229,-309.128317837413,35.6421949955761,3.11542764794167
"2478",2515,160,"LF960","YPD","MATalpha",9.71049284967801,25.5,5.75084415971901,26.35625,-596.373975811023,0.00582093821926056,0.0917792373051245,-590.623131651304,29.4811551725717,2.94681268551595
"2479",2516,220,"LF960","YPD","MATalpha",11.9599754543398,30,15.5241483658313,29.9909090909091,-868.996995117311,0.00691240153768155,0.0675021888919556,-853.47284675148,33.7488053620326,2.70229347633574
"2480",2517,160,"LF960","YPD","MATalpha",10.88400101008,21,5.37844399243943,21.5625,-606.577069640202,0.0148872579491775,0.0656627567905253,-601.198625647763,24.3651615947463,2.09733061767935
"2481",2518,140,"SK1370","YPD","MATa",13.9716549791763,40.5,-2.40155059132496,38.6928571428571,-564.489247987788,0.00271528816063766,0.0743494581171557,-566.890798579113,43.251682233969,3.12332377917781
"2482",2519,159,"LF960","YPD","MATalpha",9.88327304388719,17,16.3693082533202,19.5534591194969,-593.82878394612,0.0200631523260754,0.0600421363004789,-577.4594756928,22.1547125061346,2.11198900561644
